year,session,code,subject,paper,max_mark,9,8,7,6,5,4,3,2,1,u
2022,November,9275/2A,ENGLISH LITERATURE,PAPER 2A,90,75,66,58,51,44,36,26,17,8,,0
2022,November,9275/2B,ENGLISH LITERATURE,PAPER 2B,60,50,44,39,34,29,23,16,9,3,,0
2022,November,9275/C,ENGLISH LITERATURE,B NON-EXAM ASSESSMENT,30,26,23,21,18,15,13,9,6,3,,0
2022,November,9280/L,ENGLISH AS A SECOND LANGUAGE,PAPER 3: LISTENING,40,35,32,30,27,24,20,15,10,6,,0
2022,November,9280/R,ENGLISH AS A SECOND LANGUAGE,PAPER 2: READING,60,50,45,41,36,31,27,19,12,5,,0
2022,November,9280/S,ENGLISH AS A SECOND LANGUAGE,PAPER 4: SPEAKING,40,33,30,27,24,21,19,13,8,3,,0
2022,November,9280/W,ENGLISH AS A SECOND LANGUAGE,PAPER 1: WRITING,60,50,45,41,37,33,29,21,13,6,,0
2021,November,9201/1,BIOLOGY,PAPER 1,90,63,56,49,43,37,31,23,15,7,,0
2021,November,9201/2,BIOLOGY,PAPER 2,90,67,60,54,47,40,34,25,16,8,,0
2021,November,9202/1,CHEMISTRY,PAPER 1,90,68,60,53,45,37,29,22,15,9,,0
2021,November,9202/2,CHEMISTRY,PAPER 2,90,67,59,51,43,35,28,21,14,8,,0
2021,November,9203/1,ENGLISH LITERATURE,PHYSICS PAPER 1,90,67,60,53,46,39,32,24,17,10,,0
2021,November,9203/2,ENGLISH LITERATURE,PHYSICS PAPER 2,90,67,59,52,45,38,32,24,16,9,,0
2021,November,9210/1,COMPUTER SCIENCE,PAPER 1,80,63,54,46,38,30,23,17,12,7,,0
2021,November,9210/2,COMPUTER SCIENCE,PAPER 2,80,66,58,51,44,37,30,22,15,8,,0
2021,November,9225/1,BUSINESS,PAPER 1,90,75,67,60,52,44,36,26,17,8,,0
2021,November,9225/2,BUSINESS,PAPER 2,90,75,67,60,53,46,40,29,18,8,,0
2021,November,9230/1,ENGLISH LITERATURE,GEOGRAPHY PAPER 1,80,57,51,45,39,33,28,20,13,6,,0
2021,November,9230/2,ENGLISH LITERATURE,GEOGRAPHY PAPER 2,80,57,51,45,39,33,28,20,13,6,,0
2021,November,9230/3,ENGLISH LITERATURE,GEOGRAPHY PAPER 3,75,43,38,34,30,26,22,16,10,4,,0
2021,November,9270/1,ENGLISH LANGUAGE,PAPER 1,120,99,88,78,68,58,48,35,23,11,,0
2021,November,9270/2,ENGLISH LANGUAGE,PAPER 2,80,65,58,52,46,40,34,25,16,7,,0
